#SampleID	qiita_host_age	age
1841.F05328	19	19
1841.F05898	24	24
1841.P16393	33	33
10317.000015283	61	61
10317.000015285	61	61
10317.000041069	31	31
10317.000041062	33	33
2010.1902	32	32
1841.P16396	30	30
10317.000004053	54	54
11052.5.25.13.rk.rh	36	36
10317.000036739	59	59
1841.P15708	19	19
1841.P15709	21	21
1841.P15706	21	21
1841.P15707	21	21
1841.P15704	21	21
1841.F06201	37	37
1841.F06205	21	21
1841.F06208	25	25
2010.3050	31	31
10317.000028314	57	57
1841.F05158	22	22
1841.F05155	19	19
1841.F05157	20	20
1841.F05151	22	22
11052.5.23.13.rk.rh	36	36
10317.000068998	29	29
10317.000005069	62	62
11052.5.24.13.rk.rh	36	36
1841.P16399	24	24
1841.P16391	55	55
1841.P16394	28	28
1841.P16424	22	22
11052.6.14.13.rk.rh	36	36
1841.P16507	22	22
1841.F06568	21	21
10317.000063315	25	25
1841.F06560	20	20
1841.F06563	20	20
1841.F06564	23	23
1841.F06565	41	41
1841.F06566	20	20
1841.F06567	21	21
1841.P16184	32	32
10317.000049004	28	28
10317.000049005	28	28
10317.000049008	28	28
11052.6.18.13.rk.rh	36	36
2010.2244	23	23
1841.P15517	33	33
1841.P15515	20	20
1841.P15513	25	25
1841.P15512	24	24
1841.P15511	20	20
1841.P15519	20	20
1841.F05001	22	22
1841.F05525	20	20
1841.F05527	33	33
1841.F05521	19	19
1841.F05523	20	20
10317.000010131	58	58
1841.F05529	22	22
10317.000014483	35	35
1841.F06490	23	23
1841.F06492	36	36
1841.P16099	20	20
1841.P16098	30	30
1841.P16093	21	21
1841.P16094	37	37
10317.000069003	22	22
10317.000002296	59	59
11052.6.4.13.rk.rh	36	36
10317.000063159	25	25
1841.P15720	21	21
1841.P15724	32	32
1841.P15726	55	55
1841.P15727	25	25
1841.P15728	20	20
1841.F06226	55	55
1841.F06225	21	21
1841.F06224	37	37
1841.F06220	20	20
2010.2380	23	23
11052.6.19.13.rk.rh	36	36
10317.000003441	50	50
10317.000031898	34	34
10317.000005221	40	40
10317.000005222	40	40
2010.1665	22	22
1841.P16401	21	21
1841.P16404	23	23
1841.P16406	23	23
11052.6.16.13.rk.rh	36	36
10317.000009650	53	53
1841.F06508	23	23
1841.F06509	22	22
1841.F06507	22	22
1841.F06505	20	20
1841.F06502	21	21
1841.F06503	20	20
1841.F06500	29	29
11052.6.18.13.rk.lh	36	36
11052.5.4.13.rk.rh	36	36
10317.000049845	35	35
10317.000063196	38	38
11052.5.7.13.rk.fh	36	36
1841.F05548	22	22
10317.000069135	34	34
1841.F05091	27	27
1841.P15579	21	21
1841.P15570	20	20
1841.P15573	21	21
1841.P15572	21	21
1841.F05059	20	20
1841.F05058	22	22
1841.F05051	22	22
1841.F05053	27	27
1841.F05500	22	22
1841.F05055	22	22
1841.F05056	21	21
11052.5.9.13.rk.fh	36	36
10317.000020406	21	21
1841.F06436	21	21
10317.000015253	34	34
10317.000015252	34	34
10317.000015255	34	34
11052.5.21.13.rk.lh	36	36
10317.000049745	64	64
11052.5.14.13.rk.rh	36	36
1841.P15361	27	27
10317.000063291	29	29
1841.P15963	20	20
1841.P15960	20	20
1841.P15742	20	20
1841.P15743	30	30
1841.P15740	55	55
1841.P15965	21	21
1841.P15969	20	20
1841.P15748	22	22
10317.000035234	69	69
1841.F06249	30	30
1841.F06243	55	55
1841.F06242	37	37
10317.000049905	69	69
11052.5.22.13.rk.lh	36	36
11052.6.22.13.rk.lh	36	36
10317.000063219	34	34
10317.000015064	71	71
10317.000015060	80	80
10317.000015061	71	71
10317.000015062	71	71
1841.F05267	26	26
1841.F05268	37	37
11052.5.28.13.rk.fh	36	36
11052.5.17.13.rk.rh	36	36
10317.000006851	73	73
10317.000034581	22	22
1841.P16466	22	22
1841.P16464	20	20
1841.P16465	20	20
1841.P16463	23	23
2010.1447	25	25
10317.000003550	72	72
1841.F05894	20	20
1841.F05321	27	27
1841.P16545	20	20
2010.1623	22	22
10317.000066836	27	27
10317.000066831	29	29
1841.P16556	23	23
10317.000003320	68	68
1841.F06524	23	23
1841.F06526	23	23
1841.F06520	21	21
1841.F06521	20	20
1841.F06522	23	23
1841.F06523	22	22
1841.F06529	22	22
1841.P15085	20	20
1841.P15084	21	21
1841.P15087	36	36
1841.P15086	22	22
1841.P15081	21	21
1841.P15080	20	20
1841.P15223	29	29
1841.P15550	22	22
1841.P15224	22	22
1841.P15226	20	20
1841.P15229	21	21
2010.2294	23	23
11052.5.20.13.rk.rh	36	36
1841.F05077	23	23
1841.F05076	22	22
1841.F05075	20	20
11052.6.29.13.rk.lh	36	36
1841.F05389	19	19
1841.F05925	27	27
1841.F05927	19	19
1841.P16146	33	33
1841.F06291	21	21
1841.P15413	20	20
10317.000031072	52	52
2010.1474	35	35
1841.P15919	20	20
10317.000063279	30	30
11052.6.26.13.rk.rh	36	36
1841.P15948	20	20
1841.P15764	28	28
1841.P15941	23	23
1841.P15766	32	32
1841.P15945	21	21
1841.P15762	22	22
10317.000062197	29	29
1841.F06263	25	25
1841.F05604	20	20
10317.000005260	28	28
10317.000005261	28	28
10317.000012954	63	63
1841.P16267	20	20
1841.F05247	28	28
1841.P16339	55	55
1841.P16448	20	20
1841.P16332	25	25
1841.P16445	21	21
10317.000066855	27	27
1841.F05465	21	21
1841.F05469	28	28
1841.F06094	22	22
1841.F06092	20	20
11052.5.10.13.rk.rh	36	36
10317.000063303	26	26
1841.F06574	22	22
1841.P15207	23	23
1841.P15206	20	20
1841.P15205	21	21
1841.P15202	20	20
1841.P15201	23	23
1841.P15200	41	41
1841.P15209	21	21
1841.P15208	22	22
10317.000033105	37	37
10317.000063483	25	25
2010.3011	31	31
10317.000026508	76	76
1841.F05012	27	27
10317.000015217	46	46
10317.000015216	46	46
10317.000015215	33	33
10317.000015211	33	33
10317.000015219	46	46
2010.1989	32	32
1841.F05907	19	19
11052.6.11.13.rk.fh	36	36
1841.F05903	27	27
1841.F05901	19	19
1841.F05909	18	18
1841.P16166	25	25
1841.P16165	55	55
1841.P16160	32	32
10317.000069082	22	22
11052.5.12.13.rk.lh	36	36
1841.P15928	21	21
1841.P15926	21	21
1841.P15925	22	22
1841.P15922	21	21
1841.P15923	21	21
1841.P15920	22	22
1841.F06289	30	30
1841.F06288	55	55
1841.F06282	55	55
1841.F06285	21	21
1841.F06284	21	21
1841.F06287	21	21
1841.F06286	30	30
10317.000068763	34	34
1841.F06202	32	32
10317.000005289	69	69
10317.000033429	62	62
10317.000033426	26	26
10317.000007080	48	48
1841.F05229	22	22
1841.F05226	32	32
1841.F05227	24	24
1841.F05223	21	21
11052.6.11.13.rk.lh	36	36
10317.000023667	41	41
1841.P16310	20	20
1841.P16311	32	32
1841.P16312	37	37
1841.P16313	20	20
1841.P16315	24	24
1841.P16316	33	33
1841.P16317	21	21
1841.P16318	26	26
1841.P16319	26	26
10317.000004059	66	66
10317.000004058	66	66
10317.000071442	22	22
10317.000015015	41	41
1841.F06340	21	21
10317.000028832	36	36
11052.5.13.13.rk.fh	36	36
1841.F06342	22	22
1841.F06343	21	21
1841.P15041	22	22
1841.P15043	21	21
1841.P15042	22	22
1841.P15045	22	22
1841.P15047	20	20
10317.000002722	67	67
1841.P15269	21	21
1841.P15268	22	22
1841.P15599	20	20
1841.P15598	22	22
1841.P15597	21	21
1841.P15596	19	19
1841.P15267	21	21
1841.P15260	21	21
1841.P15263	22	22
1841.P15262	20	20
1841.F05084	22	22
1841.P15059	23	23
10317.000068854	31	31
11052.6.23.13.rk.fh	36	36
1841.P16442	22	22
1841.P16092	26	26
1841.F05038	20	20
1841.F05033	20	20
1841.F05031	23	23
1841.F05030	19	19
1841.F05036	22	22
1841.F05034	20	20
10317.000028823	30	30
1841.F05697	22	22
1841.F05694	20	20
1841.F05693	22	22
1841.F05692	21	21
1841.F05969	18	18
1841.F05964	19	19
1841.P16104	30	30
1841.P16107	24	24
1841.P16106	25	25
1841.P16101	20	20
1841.P16100	26	26
1841.P16103	21	21
1841.P16102	21	21
10317.000006972	61	61
2010.1308	27	27
2010.1302	34	34
10317.000049759	52	52
10317.000014510	36	36
1841.F05550	20	20
1841.P15310	22	22
1841.F06119	21	21
10317.000063236	31	31
10317.000068847	30	30
1841.F05559	22	22
10317.000014513	43	43
11052.5.22.13.rk.fh	36	36
1841.P15904	20	20
1841.P15906	21	21
1841.P15907	20	20
1841.P15908	21	21
1841.P15909	21	21
1841.P15288	20	20
10317.000004056	52	52
10317.000069022	23	23
1841.P15672	20	20
1841.P15674	20	20
1841.P15679	36	36
11052.5.28.13.rk.lh	36	36
10317.000048405	28	28
10317.000048407	28	28
10317.000048406	28	28
11052.5.17.13.rk.lh	36	36
1841.F05206	26	26
1841.F05207	24	24
1841.F05200	22	22
1841.F05201	19	19
1841.F05202	21	21
1841.P16426	20	20
1841.F05209	24	24
1841.P16395	22	22
1841.P16377	22	22
1841.P16373	20	20
1841.P16370	20	20
1841.P16371	20	20
1841.P16397	32	32
1841.P16378	20	20
1841.P16379	21	21
1841.F05884	20	20
1841.F05885	37	37
1841.P16590	23	23
1841.P16591	21	21
1841.P16596	20	20
1841.P16597	22	22
1841.P16595	20	20
1841.P16598	22	22
11052.5.27.13.rk.lh	36	36
10317.000063231	27	27
11052.6.20.13.rk.rh	36	36
1841.F06015	20	20
10317.000015187	27	27
1841.F06586	21	21
1841.F06584	22	22
1841.F06585	29	29
1841.F06582	21	21
1841.F06583	21	21
1841.F06580	21	21
1841.F06581	21	21
1841.F06588	20	20
11052.5.16.13.rk.lh	36	36
1841.P15068	22	22
1841.P15067	22	22
1841.P15066	23	23
1841.P15065	21	21
1841.P15063	23	23
1841.P15060	22	22
10317.000003385	57	57
1841.F06320	21	21
1841.F06326	29	29
1841.F06324	21	21
1841.F06329	22	22
1841.P15241	23	23
1841.P15240	21	21
1841.P15244	20	20
1841.P15249	20	20
2010.2516	26	26
11052.6.13.13.rk.lh	36	36
1841.F06297	55	55
10317.000068830	29	29
10317.000068835	36	36
11052.6.29.13.rk.rh	36	36
10317.000007122	60	60
10317.000007123	60	60
10317.000007121	60	60
1841.P15264	22	22
1841.P16299	30	30
1841.P16298	55	55
1841.P16295	55	55
1841.P16294	21	21
1841.P16297	22	22
1841.P16296	21	21
1841.P16290	21	21
1841.P16293	22	22
10317.000015118	28	28
2010.2114	34	34
10317.000015116	28	28
10317.000069046	33	33
1841.F05941	18	18
1841.F05412	21	21
1841.F05415	20	20
1841.F05414	32	32
1841.F05419	20	20
1841.P16122	33	33
1841.P16129	25	25
11052.6.25.13.rk.rh	36	36
10317.000068799	30	30
10317.000005890	56	56
10317.000063212	34	34
10317.000031935	40	40
1841.F05455	21	21
11052.6.1.13.rk.fh	36	36
11052.5.30.13.rk.fh	36	36
1841.F05675	21	21
1841.F05674	21	21
1841.F05671	20	20
1841.P15580	23	23
10317.000015453	46	46
2010.3180	31	31
11052.6.27.13.rk.fh	36	36
1841.F05452	30	30
1841.P16354	22	22
1841.P16356	30	30
10317.000005234	55	55
2010.1803	34	34
1841.P16034	21	21
1841.P16524	21	21
1841.P16523	23	23
11052.6.18.13.rk.fh	36	36
1841.F05496	19	19
10317.000040503	52	52
10317.000040507	52	52
1841.P15005	29	29
1841.P15004	20	20
1841.P15007	21	21
1841.P15001	23	23
1841.P15003	23	23
1841.P15002	22	22
1841.P15008	21	21
11052.5.27.13.rk.fh	36	36
1841.F06308	22	22
1841.F06301	21	21
1841.F06303	20	20
1841.F06305	20	20
1841.F06306	20	20
10317.000049844	35	35
10317.000049840	69	69
10317.000049841	69	69
10317.000005363	67	67
10317.000068811	23	23
10317.000007105	53	53
10317.000007106	53	53
10317.000007103	53	53
11052.5.21.13.rk.fh	36	36
1841.F05433	32	32
1841.F05432	32	32
1841.F05431	30	30
1841.F05439	21	21
11052.6.25.13.rk.lh	36	36
10317.000031099	55	55
1841.F05434	20	20
2010.1347	34	34
10317.000068770	34	34
1841.F06323	22	22
1841.F06210	37	37
1841.F06211	22	22
10317.000069070	29	29
1841.P15634	23	23
10317.000072315	42	42
1841.F05092	23	23
10317.000079831	38	38
1841.P15342	20	20
2010.1751	23	23
10317.000049729	36	36
1841.P15029	20	20
1841.P15023	21	21
1841.P15022	20	20
1841.P15021	20	20
1841.P15025	21	21
1841.P15024	22	22
1841.F06368	29	29
1841.F06367	21	21
1841.F06365	20	20
1841.F06362	22	22
1841.F06363	21	21
1841.F06360	22	22
1841.F06361	20	20
1841.P15289	21	21
1841.P15284	23	23
1841.P15283	22	22
1841.P15281	41	41
1841.P15280	23	23
10317.000049790	27	27
11052.5.20.13.rk.lh	36	36
10317.000015503	58	58
1841.P15221	36	36
10317.000005290	69	69
10317.000015502	58	58
1841.F06465	23	23
10317.000063476	25	25
1841.F06466	22	22
1841.P15222	21	21
1841.F05630	20	20
10317.000015293	29	29
10317.000015292	29	29
10317.000015291	29	29
1841.F05636	22	22
1841.F05987	18	18
1841.F05986	19	19
1841.F05985	27	27
1841.F05984	27	27
10317.000015058	80	80
1841.P16251	20	20
1841.P16253	26	26
1841.P16257	25	25
11052.6.3.13.rk.lh	36	36
1841.F05410	22	22
1841.F05520	21	21
1841.F06170	20	20
1841.F06175	20	20
10317.000035236	69	69
11052.6.2.13.rk.fh	36	36
10317.000027751	54	54
1841.P15611	20	20
1841.P15612	20	20
1841.P15618	41	41
11052.5.28.13.rk.rh	36	36
11052.5.17.13.rk.fh	36	36
1841.P16552	21	21
11052.6.9.13.rk.lh	36	36
1841.P16416	23	23
10317.000048390	21	21
1841.F05843	22	22
1841.F05840	33	33
10317.000015463	69	69
10317.000015464	69	69
11052.6.15.13.rk.fh	36	36
1841.P16553	29	29
1841.F05848	21	21
1841.F05849	33	33
1841.P16063	22	22
1841.P16065	21	21
1841.P16068	21	21
11052.5.11.13.rk.rh	36	36
1841.P16348	28	28
11052.6.21.13.rk.lh	36	36
10317.000013184	46	46
10317.000030487	69	69
10317.000009540	53	53
1841.F06432	41	41
1841.F06433	21	21
1841.F06346	21	21
10317.000063422	36	36
1841.F06439	20	20
1841.F06349	21	21
11052.6.13.13.rk.fh	36	36
10317.000049119	62	62
1841.F06589	20	20
1841.F05617	29	29
1841.F05612	20	20
1841.F05611	20	20
10317.000027250	26	26
1841.P15400	27	27
1841.P15407	18	18
10317.000009059	50	50
1841.P16279	37	37
1841.P16278	21	21
1841.P16276	32	32
1841.P16275	37	37
1841.P16272	22	22
1841.P16270	32	32
1841.F05471	20	20
1841.F05470	19	19
1841.F05477	20	20
1841.F05476	25	25
1841.F05475	22	22
1841.F05474	22	22
1841.F06031	22	22
1841.F05645	21	21
1841.P16187	24	24
1841.P16186	24	24
1841.P16181	28	28
1841.P16180	32	32
1841.P16183	22	22
1841.P16182	20	20
1841.F05647	21	21
1841.F05640	20	20
10317.000004764	36	36
11052.5.16.13.rk.fh	36	36
1841.P15988	21	21
1841.P15989	22	22
1841.P15985	20	20
1841.P15981	22	22
1841.P15181	18	18
2010.1840	32	32
11052.5.12.13.rk.rh	36	36
11052.6.6.13.rk.rh	36	36
1841.P15369	22	22
1841.P15362	27	27
1841.P15365	22	22
10317.000006853	74	74
10317.000036125	42	42
1841.F05808	21	21
11052.5.26.13.rk.rh	36	36
1841.F05288	25	25
1841.F05287	25	25
1841.F05804	21	21
10317.000011979	53	53
1841.F05869	30	30
11052.5.11.13.rk.lh	36	36
1841.F05864	33	33
1841.F05866	22	22
1841.F05867	25	25
1841.P16519	22	22
1841.P16513	29	29
1841.P16510	20	20
1841.P16516	21	21
11052.5.13.13.rk.lh	36	36
10317.000007128	39	39
10317.000007129	39	39
10317.000033792	27	27
2010.1246	34	34
1841.F05486	22	22
10317.000009071	31	31
10317.000009073	31	31
10317.000028943	46	46
10317.000028942	46	46
10317.000048360	64	64
1841.F06419	20	20
10317.000063440	30	30
10317.000063447	30	30
1841.F06410	21	21
1841.F06411	22	22
1841.F06412	23	23
1841.F06413	20	20
1841.F06414	36	36
1841.F06415	22	22
1841.F06416	41	41
1841.F06417	20	20
1841.F06511	20	20
11052.5.30.13.rk.rh	36	36
10317.000005654	35	35
10317.000005657	35	35
10317.000005656	35	35
10317.000005651	65	65
10317.000005650	65	65
10317.000005652	65	65
10317.000049130	48	48
10317.000049131	48	48
10317.000049132	48	48
1841.F05502	20	20
1841.P15790	25	25
1841.P15793	22	22
1841.P15792	20	20
10317.000020770	63	63
1841.P15797	21	21
1841.P15796	37	37
1841.P15799	21	21
1841.P15798	21	21
1841.P16530	20	20
1841.P16531	23	23
1841.P16537	20	20
1841.P15427	22	22
1841.P15425	23	23
1841.P15424	19	19
1841.P15422	21	21
1841.P15420	22	22
1841.P15429	24	24
1841.F06190	20	20
1841.F05676	41	41
1841.F05672	23	23
1841.F05679	22	22
1841.P16215	55	55
1841.P16214	25	25
1841.P16217	37	37
1841.P16211	21	21
1841.P16210	20	20
1841.P16213	25	25
1841.P16212	20	20
1841.P16219	55	55
1841.P16218	22	22
1841.P15054	21	21
1841.F05491	22	22
1841.F05490	21	21
1841.P15231	22	22
11052.5.19.13.rk.fh	36	36
1841.P15168	18	18
1841.P15163	18	18
1841.P15166	27	27
1841.F06060	23	23
1841.F06063	23	23
1841.F06062	20	20
1841.F06064	23	23
1841.P15308	23	23
1841.P15306	20	20
1841.F06068	27	27
1841.P15304	23	23
1841.P15300	27	27
10317.000063380	40	40
10317.000063387	40	40
2010.3105	31	31
10317.000004846	43	43
10317.000005236	55	55
11052.5.29.13.rk.rh	36	36
1841.F06355	36	36
10317.000009724	39	39
11052.5.23.13.rk.fh	36	36
10317.000020763	51	51
1841.F05806	20	20
1841.F05805	33	33
1841.F05802	25	25
1841.F05803	33	33
1841.P15551	22	22
11052.5.27.13.rk.rh	36	36
2010.1260	27	27
1841.P16533	22	22
1841.P16534	20	20
1841.P16535	22	22
1841.P16536	36	36
1841.F05416	21	21
1841.F05822	33	33
10317.000009725	39	39
10317.000009722	39	39
1841.F05094	23	23
